entity,type,source_url
Isaac Asimov,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
"c. January 2, 1920[a",DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Petrovichi,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Soviet Russia,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
"April 6, 1992",DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
New York City,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
U.S.,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
72,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
United States,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
Columbia University,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
PhD,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Boston University,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
1948,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Charles Reginald Dawson,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Robert Elderfield,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
"January 2, 1920[a] – April 6, 1992",DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Robert A. Heinlein,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Arthur C. Clarke.[2,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Bible,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Shakespeare,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Foundation,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Hugo Award,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Best All-Time Series,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Edward Gibbon's,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
The History of the Decline and Fall of the Roman Empire,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Galactic Empire,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Robot,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
The Caves of Steel,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
The Naked Sun,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
the mid-1950s,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Foundation,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
Foundation and Earth,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
1986,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Nightfall,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
1964,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
the Science Fiction Writers of America,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
Lucky Starr,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Paul French.[6,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Guide to Science,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Understanding Physics,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Chronology of Science and Discovery,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
the American Humanist Association.[7,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
Brooklyn,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
Honda,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
Azimov,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
the United States,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
1923,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov.[1,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Spell My Name,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Petrovichi,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
"Russian SFSR,[17",GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
"between October 4, 1919",DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
"January 2, 1920,",DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
January 2.[a,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Anna Rachel,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Berman,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Judah Asimov,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Isaac,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Isaac Berman.[19,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
1921,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Marcia,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Frank Herbert,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Franklin Patrick Herbert Jr,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
"October 8, 1920",DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Tacoma,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
Washington,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
U.S.,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
"February 11, 1986",DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Madison,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
Wisconsin,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
65,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
University of Washington,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
Brian Herbert,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Franklin Patrick Herbert Jr.,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
"October 8, 1920 – February 11, 1986",DATE,https://en.wikipedia.org/wiki/Frank_Herbert
1965,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Dune,WORK_OF_ART,https://en.wikipedia.org/wiki/Frank_Herbert
David Lynch's,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
1984,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Frank Herbert's,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
2000,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Children of Dune,WORK_OF_ART,https://en.wikipedia.org/wiki/Frank_Herbert
2003,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Denis Villeneuve's,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
2021,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Dune: Part Two,WORK_OF_ART,https://en.wikipedia.org/wiki/Frank_Herbert
2024,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Patrick Herbert Jr.,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Franklin Patrick Herbert Sr.,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Eileen (née McCarthy,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
1905,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Burley Colony,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
Kitsap County,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
Washington State,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
the 1890s.[14,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
the age of five,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Kodak,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
age ten,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
his early teens,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
the mid-1930s.[16,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
5-year-old,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Patricia Lou,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
1938,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Frank,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
"Peggy ""Violet"" Rowntree",PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
"Ken Rowntree, Sr.[17",PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
weeks,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Patricia,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
18,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Salem High School,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
North Salem High School,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
the next year.[17,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
1939,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Los Angeles,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
California,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
the Glendale Star.[18,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
Herbert,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Salem,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
1940,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Oregon,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
Statesman,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
Statesman Journal,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
Flora Lillian Parkinson,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
San Pedro,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
1941,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Penelope,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
"February 16, 1942",DATE,https://en.wikipedia.org/wiki/Frank_Herbert
1942,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
the U.S. Navy's,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
six months,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Portland,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
The Oregon Journal.[19,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
the University of Washington,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
Beverly Ann Stuart,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
1946,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Esquire,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
1945,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Survival of the Cunning,WORK_OF_ART,https://en.wikipedia.org/wiki/Frank_Herbert
Stuart,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Modern Romance,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
Seattle,GPE,https://en.wikipedia.org/wiki/Frank_Herbert
Brian,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
1947,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Bruce Calvin Herbert,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
1949,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
the Santa Rosa Press-Democrat,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
Ralph,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Irene Slattery,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Slatterys,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Freud,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Jung,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Jaspers,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Heidegger,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
the Seattle Star,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
the Oregon,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
the San Francisco Examiner's,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
California Living,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
a decade,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
1973,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
about ten years,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
H. G. Wells,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Robert A. Heinlein,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Poul Anderson,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Jack Vance.[24,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
Looking for Something,WORK_OF_ART,https://en.wikipedia.org/wiki/Frank_Herbert
April 1952,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Startling Stories,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
monthly,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Samuel Mines,PERSON,https://en.wikipedia.org/wiki/Frank_Herbert
1954,DATE,https://en.wikipedia.org/wiki/Frank_Herbert
Astounding Science Fiction and Amazing Stories.[25,ORG,https://en.wikipedia.org/wiki/Frank_Herbert
Arthur C. Clarke,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Arthur Charles Clarke,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
16 December 1917,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
19 March 2008,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Colombo,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Sri Lanka,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
90,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Charles Willis E. G. O'Brien[1][2,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
King's College London,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Marilyn Mayfield,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
m. 1953,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1964,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
2008,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Clarke,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1961,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
the Kalinga Prize,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
UNESCO,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
"Prophet of the Space Age"".[4",WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Hugo,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Nebula,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
many years,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Robert Heinlein,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Isaac Asimov.[5,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1968,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
2001: A Space Odyssey,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1934,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
the British Interplanetary Society,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
BIS,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1945,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1946,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1947,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Ceylon,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1956,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
That year,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Trincomalee,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
the 1980s,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Arthur C. Clarke's,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Mysterious World,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1989,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
"Sri Lanka"".[12",GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Sri Lanka's,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Minehead,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Somerset,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Bishops Lydeard,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Huish's Grammar School,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Taunton,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
about 1925,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
November 1928,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Amazing Stories,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1929,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Last and First Men,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Olaf Stapledon,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1930,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
The Conquest of Space,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
David Lasser,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
his teens,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
the Junior Astronomical Association,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Urania,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Glasgow,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Marion Eadie,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Astronautics,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Debates and Discussions Corner,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Urania,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Walt Disney,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Fantasia,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
London,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
1936,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
the Board of Education,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Ego,PERSON,https://en.wikipedia.org/wiki/Arthur_C._Clarke
the Royal Air Force,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
RAF,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Glide Path,WORK_OF_ART,https://en.wikipedia.org/wiki/Arthur_C._Clarke
GCA,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
several years,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Wiltshire,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
27 May 1943.[21,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
27 November 1943.[22,DATE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Warwickshire,GPE,https://en.wikipedia.org/wiki/Arthur_C._Clarke
King's College London.[23][24,ORG,https://en.wikipedia.org/wiki/Arthur_C._Clarke
Philip K. Dick,PERSON,https://en.wikipedia.org/wiki/Philip_K._Dick
Philip Kindred Dick,PERSON,https://en.wikipedia.org/wiki/Philip_K._Dick
"December 16, 1928",DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
Chicago,GPE,https://en.wikipedia.org/wiki/Philip_K._Dick
Illinois,GPE,https://en.wikipedia.org/wiki/Philip_K._Dick
U.S.,GPE,https://en.wikipedia.org/wiki/Philip_K._Dick
"March 2, 1982",DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
Santa Ana,GPE,https://en.wikipedia.org/wiki/Philip_K._Dick
California,GPE,https://en.wikipedia.org/wiki/Philip_K._Dick
53,DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
Isa,PERSON,https://en.wikipedia.org/wiki/Philip_K._Dick
"December 16, 1928 – March 2, 1982",DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
20th-century,DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
Dick,PERSON,https://en.wikipedia.org/wiki/Philip_K._Dick
1952,DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
23,DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
The Man in the High Castle,WORK_OF_ART,https://en.wikipedia.org/wiki/Philip_K._Dick
1962,DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
a Hugo Award for Best Novel,WORK_OF_ART,https://en.wikipedia.org/wiki/Philip_K._Dick
Do Androids Dream of Electric Sheep,WORK_OF_ART,https://en.wikipedia.org/wiki/Philip_K._Dick
1968,DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
Ubik,WORK_OF_ART,https://en.wikipedia.org/wiki/Philip_K._Dick
1969,DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
1974,DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
"Flow My Tears, the Policeman Said",WORK_OF_ART,https://en.wikipedia.org/wiki/Philip_K._Dick
the John W. Campbell Memorial Award,WORK_OF_ART,https://en.wikipedia.org/wiki/Philip_K._Dick
years,DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
A Scanner Darkly,WORK_OF_ART,https://en.wikipedia.org/wiki/Philip_K._Dick
1977,DATE,https://en.wikipedia.org/wiki/Philip_K._Dick
VALIS,WORK_OF_ART,https://en.wikipedia.org/wiki/Philip_K._Dick
