entity,type,source_url
The Whitney Museum of American Art,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Spanish Gothic,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
1192–1316,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Honolulu,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Gloucester Cathedral,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Khajuraho,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Tombs and memorials,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Süleymaniye Mosque,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
shrine,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
C.E.,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Shore Temple,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Ukraine,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Mosque of Bāb al-Mardūm,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Postal Savings Bank,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Great Mosque of Djenné,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Sainte-Chapelle,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Acoma Pueblo,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Palenque,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
The Cappella Palatina,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
San Carlo,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
B.C.E,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
El Escorial,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Indians of Canada Pavilion,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Cities -,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Indonesia,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Po Nagar Temple,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Bukhara,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Lincoln Cathedral,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Montreal,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Russia,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Halebidu,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
with,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Red House,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
and Nan Madol,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Federated States of Micronesia,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Margaret Street,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Austria,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Art and architecture of the Vijayanagara empire,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Mali,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
c. 7400–5200 B.C.E.,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
The Panthéon,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Expo 67,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Grand Central,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
B.C.E.–2024,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Germany,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
The European Palaces of the Qianlong Emperor,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Prague,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Angkor Wat,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Sudan,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
The AT&T Building,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
and Rayonnet Gothic,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Italy,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Knossos,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
West Bank,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Peterborough Cathedral,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Ouro Preto,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
- Palaces,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
New,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Temple of Portunus,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Mexico,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
The Colosseum,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Chinese,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
New York City,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Athens,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Penataran,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
San Miniato in Florence and Pisa Cathedral,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Amiens Cathedral,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Tunisia,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Pirie,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Japan,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Istanbul,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Church of La Madeleine,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Isfahan,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Pueblo,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Teotihuacan,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Templo Mayor,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Germany,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Trier,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Syria,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Palaces and fortresses,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Canada,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Babylon,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Hawaiʻi,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
arcade,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Bangkok,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
The Paris Opéra,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Tanjavur,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Brighton,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
not,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Turkey,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Great Zimbabwe,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Aula Palatina,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
London,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Burnham and Root,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
England,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Church of Ste-Geneviève,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Kilwa Kisiwani,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Zimbabwe,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
La Rotonda,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
c. 1550–1070 B.C.E.,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Algeria,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Altneushul,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Cities,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Israel,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Villa Savoye,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Global History of Architecture Syllabus,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Persepolis,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Beijing,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Mausoleum of Hadrian,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Paris,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
The Monadnock Building,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Iran,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Florence,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Imperial fora,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Saudi Arabia,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Golden Palace,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Royal Pavilion,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Bath,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Milan,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Imperial War Museum North,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Tiwanaku,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Vietnam,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Saint Paul’s Cathedral,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Şehzade Mosque,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Scott Building,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
East façade of the Louvre,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Iraq,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
nave - apse,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Thailand,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Uruk,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Church of São Francisco de Assis,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Rome,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Houses of Parliament,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Tanzania,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Temple of Zeus,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Fishing,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Durham Cathedral,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Common types of mosque architecture,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Delaware,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Greece,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Uzbekistan,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Art and architecture of Saint Catherine’s Monastery at Mount Sinai,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Spain,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
the Vijayanagara empire,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
chapel,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Hoysaleshvara temple,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Cairo,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Peru,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
University of Virginia,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Cluny Abbey,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
International Style Key Questions Key Terms,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
SS,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
France,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Hagia Sophia,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Egypt,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Aachen,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Huis ten Bosch,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
wall - minbar - iwan - squinch,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Palace of Westminster,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Guggenheim Bilbao,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
United States,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
corinthian - triglyph - metope,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Hōryūji,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Manchester,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Great Mosque of Tlemcen,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Olympia,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
German,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Toledo,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Borobudur,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Cambodia,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
ʻIolani Palace,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Reims,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Ireland,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Palast der Republik,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Samarra,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Masjid-e Jameh,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
B.C.E.,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
The Forum and Markets of Trajan,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Constantine,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Greece,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Mumbai,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Spain,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Lion Gate,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Nets Garden,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
India,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Bolivia,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Karnak,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Quattro Fontane,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
China,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Temple of Bel,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Templo Mayor and the Coyolxauhqui Stone,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Mission Church,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Whitehall Palace,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Basilica of Saint-Sernin,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Palmyra,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Louisiana,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Mamallapuram,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Rotunda,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Cathedral of Notre Dame de Chartres,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Czech Republic,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Deogarh,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Reliance Building,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Margaret Street express the ideals of the Oxford,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Aquae Sulis,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Contemporary Native American architecture,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Le Parthénon,LOC,https://www.fondationlecorbusier.fr/oeuvre-livre/vers-une-architecture-le-corbusier-1923/
ARCHITECTURE,ORG,https://www.fondationlecorbusier.fr/oeuvre-livre/vers-une-architecture-le-corbusier-1923/
Argument,ORG,https://www.fondationlecorbusier.fr/oeuvre-livre/vers-une-architecture-le-corbusier-1923/
LES AUTOS,ORG,https://www.fondationlecorbusier.fr/oeuvre-livre/vers-une-architecture-le-corbusier-1923/
ADAGP,ORG,https://www.fondationlecorbusier.fr/oeuvre-livre/vers-une-architecture-le-corbusier-1923/
VOIENT,ORG,https://www.fondationlecorbusier.fr/oeuvre-livre/vers-une-architecture-le-corbusier-1923/
FLC,ORG,https://www.fondationlecorbusier.fr/oeuvre-livre/vers-une-architecture-le-corbusier-1923/
VOLUME,ORG,https://www.fondationlecorbusier.fr/oeuvre-livre/vers-une-architecture-le-corbusier-1923/
Sainte-Baume and Roq-et-Rob projects,ORG,https://www.academia.edu/96833138/The_Role_of_the_Fondation_Le_Corbusier_in_the_Conservation_of_the_Le_Corbusiers_Architectural_Work
Docomomo Journal,ORG,https://www.academia.edu/96833138/The_Role_of_the_Fondation_Le_Corbusier_in_the_Conservation_of_the_Le_Corbusiers_Architectural_Work
France,LOC,https://www.academia.edu/96833138/The_Role_of_the_Fondation_Le_Corbusier_in_the_Conservation_of_the_Le_Corbusiers_Architectural_Work
CIAM,ORG,https://www.academia.edu/96833138/The_Role_of_the_Fondation_Le_Corbusier_in_the_Conservation_of_the_Le_Corbusiers_Architectural_Work
Pavia,LOC,https://www.academia.edu/96833138/The_Role_of_the_Fondation_Le_Corbusier_in_the_Conservation_of_the_Le_Corbusiers_Architectural_Work
